threshold,true_accept_count,false_nonmatch_count,false_accept_count,true_nonmatch_count,genuine_scores_at_threshold,impostor_scores_at_threshold,genuine_failure_count,impostor_failure_count,tar,fnmr,far
34,85,6797,5,68815,11,1,0,0,0.012351060738157513,0.9876489392618425,7.265329845975008e-05
33,93,6789,5,68815,8,0,0,0,0.013513513513513514,0.9864864864864865,7.265329845975008e-05
32,105,6777,5,68815,12,0,0,0,0.015257192676547515,0.9847428073234524,7.265329845975008e-05
31,109,6773,6,68814,4,1,0,0,0.015838419064225517,0.9841615809357744,8.71839581517001e-05
30,114,6768,6,68814,5,0,0,0,0.016564952048823016,0.983435047951177,8.71839581517001e-05
29,129,6753,9,68811,15,3,0,0,0.018744551002615517,0.9812554489973845,0.00013077593722755012
28,144,6738,12,68808,15,3,0,0,0.020924149956408022,0.979075850043592,0.0001743679163034002
27,157,6725,13,68807,13,1,0,0,0.022813135716361524,0.9771868642836384,0.0001888985759953502
26,171,6711,14,68806,14,1,0,0,0.024847428073234524,0.9751525719267655,0.0002034292356873002
25,192,6690,14,68806,21,0,0,0,0.02789886660854403,0.972101133391456,0.0002034292356873002
24,218,6664,18,68802,26,4,0,0,0.03167683812845103,0.968323161871549,0.00026155187445510024
23,242,6640,21,68799,24,3,0,0,0.035164196454519035,0.9648358035454809,0.0003051438535309503
22,266,6616,22,68798,24,1,0,0,0.03865155478058704,0.961348445219413,0.0003196745132229003
21,297,6585,27,68793,31,5,0,0,0.043156059285091544,0.9568439407149084,0.0003923278116826504
20,324,6558,30,68790,27,3,0,0,0.047079337401918046,0.952920662598082,0.00043591979075850045
19,362,6520,33,68787,38,3,0,0,0.05260098808485905,0.947399011915141,0.00047951176983435047
18,400,6482,37,68783,38,4,0,0,0.05812263876780006,0.9418773612321999,0.0005376344086021505
17,454,6428,43,68777,54,6,0,0,0.06596919500145307,0.934030804998547,0.0006248183667538507
16,517,6365,51,68769,63,8,0,0,0.07512351060738158,0.9248764893926185,0.0007410636442894507
15,578,6304,68,68752,61,17,0,0,0.08398721301947108,0.9160127869805289,0.000988084859052601
14,651,6231,90,68730,73,22,0,0,0.0945945945945946,0.9054054054054054,0.0013077593722755014
13,747,6135,115,68705,96,25,0,0,0.10854402789886661,0.8914559721011334,0.0016710258645742516
12,871,6011,139,68681,124,24,0,0,0.12656204591688464,0.8734379540831154,0.002019761697181052
11,1001,5881,185,68635,130,46,0,0,0.14545190351641965,0.8545480964835803,0.002688172043010753
10,1145,5737,223,68597,144,38,0,0,0.16637605347282766,0.8336239465271723,0.003240337111304853
9,1358,5524,293,68527,213,70,0,0,0.19732635861668119,0.8026736413833188,0.0042574832897413544
8,1583,5299,377,68443,225,84,0,0,0.23002034292356874,0.7699796570764312,0.0054780587038651555
7,1830,5052,481,68339,247,104,0,0,0.26591107236268524,0.7340889276373147,0.006989247311827957
6,2114,4768,622,68198,284,141,0,0,0.30717814588782333,0.6928218541121767,0.009038070328392909
5,2538,4344,810,68010,424,188,0,0,0.3687881429816914,0.6312118570183086,0.011769834350479512
4,3053,3829,1295,67525,515,485,0,0,0.4436210403952339,0.556378959604766,0.01881720430107527
3,3862,3020,4174,64646,809,2879,0,0,0.5611740773031095,0.4388259226968904,0.060650973554199364
2,5167,1715,17441,51379,1305,13267,0,0,0.7507991862830572,0.24920081371694275,0.2534292356873002
0,6882,0,68820,0,1715,51379,0,0,1.0,0.0,1.0
