dataset,subject_id,canonical_finger_position,harrisz_descriptors_a,harrisz_descriptors_b,sift_descriptors_a,sift_descriptors_b,harrisz_mutual_matches,sift_mutual_matches,harrisz_ransac_inputs,sift_ransac_inputs,harrisz_inliers,sift_inliers
sd300b,00001011,9,3000,3000,3000,3000,8,20,8,20,2,6
sd300b,00001011,10,3000,3000,3000,3000,6,17,6,17,2,8
sd300b,00001012,1,3000,3000,3000,3002,15,41,15,41,5,18
sd300b,00001012,2,3000,3000,3000,3001,2,21,2,21,0,11
sd300b,00001012,3,3000,3000,3000,3001,10,36,10,36,2,11
sd300b,00001012,4,3000,3000,3000,3000,6,47,6,47,2,21
sd300b,00001012,5,3000,3000,3000,3000,8,25,8,25,3,15
sd300b,00001012,6,3000,3000,3001,3000,9,19,9,19,2,6
sd300b,00001012,7,3000,3000,3000,3000,8,18,8,18,2,7
sd300b,00001012,8,3000,3000,3000,3000,13,9,13,9,2,3
sd300b,00001012,9,3000,3000,3000,3000,2,35,2,35,0,16
sd300b,00001012,10,3000,3000,2470,3000,6,4,6,4,2,2
sd300b,00001013,1,3000,3000,3000,3000,7,19,7,19,3,13
sd300b,00001013,2,3000,3000,3000,3000,3,15,3,15,2,9
sd300b,00001013,3,3000,3000,3000,3000,7,16,7,16,3,8
sd300b,00001013,4,3000,3000,3000,3000,3,20,3,20,2,7
sd300b,00001013,5,3000,3000,3000,3001,4,4,4,4,2,3
sd300b,00001013,6,3000,3000,3000,3001,4,4,4,4,2,2
sd300b,00001013,7,3000,3000,3001,3000,3,14,3,14,2,5
sd300b,00001013,8,3000,3000,3000,3001,5,6,5,6,2,2
sd300b,00001013,9,3000,3000,3000,3001,12,21,12,21,3,7
sd300b,00001013,10,3000,3000,2148,3000,2,5,2,5,0,2
sd300b,00001014,1,3000,3000,3000,3000,5,17,5,17,2,10
sd300b,00001014,2,3000,3000,3001,3000,3,15,3,15,2,10
sd300b,00001014,3,3000,3000,3000,3000,15,42,15,42,5,26
sd300b,00001014,4,3000,3000,3000,3000,12,41,12,41,6,19
sd300b,00001014,5,3000,3000,3001,3000,2,18,2,18,0,9
sd300b,00001014,6,3000,3000,3000,3000,10,70,10,70,2,24
sd300b,00001014,7,3000,3000,3000,3002,6,17,6,17,2,7
sd300b,00001014,8,3000,3000,3001,3000,9,16,9,16,5,9
sd300b,00001014,9,3000,3000,3000,3000,7,47,7,47,4,26
sd300b,00001014,10,3000,3000,3000,3000,5,3,5,3,2,2
