dataset,class,metric,unit,available,source,notes,count,mean,median,p5,p25,p75,p95,zero_count,minimum,maximum
sd300b,roll_self,lowe_passed_b_to_a,matches,true,compare_diagnostics.ratio_match_count_b_to_a,,500,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,0,3000.0,3000.0
sd300b,roll_self,mutual_matches,matches,true,compare_diagnostics.mutual_match_count,,500,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,0,3000.0,3000.0
sd300b,roll_self,ransac_input_matches,matches,true,compare_diagnostics.ransac_input_count,,500,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,0,3000.0,3000.0
sd300b,roll_self,geometric_model_success,boolean,true,compare_diagnostics.geometry_success,,500,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0
sd300b,roll_self,inlier_count,matches,true,compare_diagnostics.geometric_inlier_count,,500,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,0,3000.0,3000.0
sd300b,roll_self,inlier_ratio,ratio,true,compare_diagnostics.inlier_ratio,,500,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0
sd300b,roll_self,raw_score,inliers,true,pairs.csv raw_score,,500,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,0,3000.0,3000.0
sd300b,roll_self,residual_reference_mean,pixels,true,per-pair compare_diagnostics.residual_reference_pixels.mean,,500,3.9123876998743456e-15,0.0,0.0,0.0,0.0,2.7749861894742994e-14,424,0.0,3.14398238199072e-14
sd300b,roll_self,residual_reference_median,pixels,true,per-pair compare_diagnostics.residual_reference_pixels.median,,500,2.3590018827235327e-15,0.0,0.0,0.0,0.0,2.842170943040401e-14,458,0.0,2.842170943040401e-14
sd300b,roll_self,residual_reference_p95,pixels,true,per-pair compare_diagnostics.residual_reference_pixels.p95,,500,9.878991528671687e-15,0.0,0.0,0.0,0.0,6.703246762680666e-14,424,0.0,8.038873388460929e-14
sd300b,roll_self,residual_reference_maximum,pixels,true,per-pair compare_diagnostics.residual_reference_pixels.maximum,,500,1.2219087550460612e-14,0.0,0.0,0.0,0.0,8.038873388460929e-14,424,0.0,8.038873388460929e-14
sd300b,roll_self,residual_destination_mean,pixels,true,per-pair compare_diagnostics.residual_destination_pixels.mean,,500,3.9123876998743456e-15,0.0,0.0,0.0,0.0,2.7749861894742994e-14,424,0.0,3.14398238199072e-14
sd300b,roll_self,residual_destination_median,pixels,true,per-pair compare_diagnostics.residual_destination_pixels.median,,500,2.3590018827235327e-15,0.0,0.0,0.0,0.0,2.842170943040401e-14,458,0.0,2.842170943040401e-14
sd300b,roll_self,residual_destination_p95,pixels,true,per-pair compare_diagnostics.residual_destination_pixels.p95,,500,9.878991528671687e-15,0.0,0.0,0.0,0.0,6.703246762680666e-14,424,0.0,8.038873388460929e-14
sd300b,roll_self,residual_destination_maximum,pixels,true,per-pair compare_diagnostics.residual_destination_pixels.maximum,,500,1.2219087550460612e-14,0.0,0.0,0.0,0.0,8.038873388460929e-14,424,0.0,8.038873388460929e-14
sd300b,roll_self,final_keypoints_scale_0_a,keypoints,true,counted from frozen harriszplus_scale_indices,,500,2212.298,2214.5,1998.9,2134.0,2304.25,2432.05,0,1158.0,2550.0
sd300b,roll_self,pre_cap_proxy_scale_0_a,candidates,true,candidates_after_eigen_ratio before cross-scale duplicate removal/uniform cap,,500,21726.422,21500.5,15871.7,19242.75,24260.0,27817.299999999996,0,12156.0,34311.0
sd300b,roll_self,final_keypoints_scale_1_a,keypoints,true,counted from frozen harriszplus_scale_indices,,500,279.248,277.0,197.95,248.0,310.0,349.04999999999995,0,152.0,624.0
sd300b,roll_self,pre_cap_proxy_scale_1_a,candidates,true,candidates_after_eigen_ratio before cross-scale duplicate removal/uniform cap,,500,14205.732,14160.5,10374.75,12610.5,15784.75,18102.649999999998,0,8169.0,22423.0
sd300b,roll_self,final_keypoints_scale_2_a,keypoints,true,counted from frozen harriszplus_scale_indices,,500,327.214,323.0,230.95,286.75,362.0,430.0999999999999,0,160.0,907.0
sd300b,roll_self,pre_cap_proxy_scale_2_a,candidates,true,candidates_after_eigen_ratio before cross-scale duplicate removal/uniform cap,,500,6219.274,6266.5,4473.2,5452.25,6949.25,7911.699999999999,0,3348.0,9496.0
sd300b,roll_self,final_keypoints_scale_3_a,keypoints,true,counted from frozen harriszplus_scale_indices,,500,121.78,118.0,69.0,94.0,143.0,186.04999999999995,0,44.0,454.0
sd300b,roll_self,pre_cap_proxy_scale_3_a,candidates,true,candidates_after_eigen_ratio before cross-scale duplicate removal/uniform cap,,500,3826.712,3858.0,2692.85,3359.5,4311.75,4922.399999999999,0,1513.0,5786.0
sd300b,roll_self,final_keypoints_scale_4_a,keypoints,true,counted from frozen harriszplus_scale_indices,,500,59.46,58.0,25.0,42.0,73.0,100.0,0,18.0,211.0
sd300b,roll_self,pre_cap_proxy_scale_4_a,candidates,true,candidates_after_eigen_ratio before cross-scale duplicate removal/uniform cap,,500,2038.418,2054.5,1387.8,1774.5,2297.5,2632.3499999999995,0,471.0,2972.0
sd300b,roll_self,final_keypoints_scale_0_b,keypoints,true,counted from frozen harriszplus_scale_indices,,500,2212.298,2214.5,1998.9,2134.0,2304.25,2432.05,0,1158.0,2550.0
sd300b,roll_self,pre_cap_proxy_scale_0_b,candidates,true,candidates_after_eigen_ratio before cross-scale duplicate removal/uniform cap,,500,21726.422,21500.5,15871.7,19242.75,24260.0,27817.299999999996,0,12156.0,34311.0
sd300b,roll_self,final_keypoints_scale_1_b,keypoints,true,counted from frozen harriszplus_scale_indices,,500,279.248,277.0,197.95,248.0,310.0,349.04999999999995,0,152.0,624.0
sd300b,roll_self,pre_cap_proxy_scale_1_b,candidates,true,candidates_after_eigen_ratio before cross-scale duplicate removal/uniform cap,,500,14205.732,14160.5,10374.75,12610.5,15784.75,18102.649999999998,0,8169.0,22423.0
sd300b,roll_self,final_keypoints_scale_2_b,keypoints,true,counted from frozen harriszplus_scale_indices,,500,327.214,323.0,230.95,286.75,362.0,430.0999999999999,0,160.0,907.0
