pair_id,dataset,protocol,subject_id,canonical_finger_position,method,method_version,config_hash,manifest_sha256,raw_score,prepare_a_ms,prepare_b_ms,compare_ms,total_ms,status,error_code,error_message
sd300c_plain_roll_00001003_02,sd300c,plain_roll,00001003,2,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,2.06031508,94.8333,567.5171,1.6854,664.0514,ok,,
sd300c_plain_roll_00001003_03,sd300c,plain_roll,00001003,3,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,46.6491422,127.2399,620.4405,4.4599,752.1552,ok,,
sd300c_plain_roll_00001003_04,sd300c,plain_roll,00001003,4,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,26.9210619,99.668,554.7631,3.4977,657.9445,ok,,
sd300c_plain_roll_00001003_05,sd300c,plain_roll,00001003,5,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,100.196731,108.6437,527.4284,3.6725,639.7598,ok,,
sd300c_plain_roll_00001003_06,sd300c,plain_roll,00001003,6,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,103.325675,287.0303,541.7211,13.6305,842.398,ok,,
sd300c_plain_roll_00001003_07,sd300c,plain_roll,00001003,7,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,56.1735901,102.3625,522.0089,2.4297,626.8171,ok,,
sd300c_plain_roll_00001003_08,sd300c,plain_roll,00001003,8,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,2.8546572,85.8201,708.8508,3.8642,798.5498,ok,,
sd300c_plain_roll_00001003_09,sd300c,plain_roll,00001003,9,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,15.5663666,112.6579,538.3349,3.5323,654.5397,ok,,
sd300c_plain_roll_00001003_10,sd300c,plain_roll,00001003,10,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,28.9644763,82.7557,500.4408,2.7732,585.9862,ok,,
sd300c_plain_roll_00001004_01,sd300c,plain_roll,00001004,1,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,128.152423,342.754,509.5178,13.3505,865.6392,ok,,
sd300c_plain_roll_00001004_02,sd300c,plain_roll,00001004,2,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,107.807385,108.144,494.1751,2.3844,604.7166,ok,,
sd300c_plain_roll_00001004_03,sd300c,plain_roll,00001004,3,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,111.7494,127.7092,534.1791,3.4163,665.3186,ok,,
sd300c_plain_roll_00001004_04,sd300c,plain_roll,00001004,4,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,88.5796426,108.7111,486.8607,4.534,600.1234,ok,,
