dataset,protocol,pair_id,subject_id,canonical_finger_position,strata,primary_status,rerun_status,status_equal,primary_error_code,rerun_error_code,error_code_equal,primary_raw_score,rerun_raw_score,raw_score_text_equal,raw_score_abs_delta,raw_score_within_tolerance,prepare_a_diagnostics_equal,prepare_b_diagnostics_equal,compare_diagnostics_equal,primary_method_compare_ms,rerun_method_compare_ms,primary_compare_ms,rerun_compare_ms,primary_total_ms,rerun_total_ms,reproducible
sd300b,plain_self,sd300b_plain_self_00001197_03,00001197,3,low_positive_both_resolutions,ok,ok,true,,,true,69.50512088332607,69.50512088332607,true,0.0,true,true,true,true,0.1311,0.235,0.4871,0.8013,84.9379,84.3052,true
sd300b,plain_self,sd300b_plain_self_00001197_07,00001197,7,low_positive_both_resolutions,ok,ok,true,,,true,41.88229363871244,41.88229363871244,true,0.0,true,true,true,true,0.0843,0.2124,0.4798,0.8211,85.4376,83.5359,true
sd300b,plain_self,sd300b_plain_self_00001203_01,00001203,1,deterministic_positive_sample,ok,ok,true,,,true,765.671610632176,765.671610632176,true,0.0,true,true,true,true,9.9358,9.7683,10.478,10.4682,248.0307,248.0638,true
sd300b,plain_self,sd300b_plain_self_00001204_02,00001204,2,self_zero_both_resolutions,ok,ok,true,,,true,0.0,0.0,true,0.0,true,true,true,true,0.0273,0.1124,0.3797,0.7724,77.298,92.3182,true
sd300b,plain_self,sd300b_plain_self_00001204_07,00001204,7,low_positive_both_resolutions,ok,ok,true,,,true,16.586865026205977,16.586865026205977,true,0.0,true,true,true,true,0.0397,0.1099,0.4159,0.7408,65.5372,64.2095,true
sd300b,plain_self,sd300b_plain_self_00001204_08,00001204,8,deterministic_positive_sample,ok,ok,true,,,true,69.50512088332607,69.50512088332607,true,0.0,true,true,true,true,0.1303,0.2218,0.5216,0.8357,110.3852,112.598,true
sd300b,plain_self,sd300b_plain_self_00001204_09,00001204,9,self_zero_sd300c_only,ok,ok,true,,,true,16.586865026205977,16.586865026205977,true,0.0,true,true,true,true,0.0344,0.148,0.4324,0.7057,87.4185,85.9839,true
sd300b,plain_self,sd300b_plain_self_00001204_10,00001204,10,self_zero_both_resolutions,ok,ok,true,,,true,0.0,0.0,true,0.0,true,true,true,true,0.0266,0.1281,0.4787,0.7511,45.1618,44.885,true
sd300b,plain_self,sd300b_plain_self_00001208_10,00001208,10,low_positive_both_resolutions,ok,ok,true,,,true,54.38764445112881,54.38764445112881,true,0.0,true,true,true,true,0.0993,0.2232,0.4901,0.7618,35.5393,36.0889,true
sd300b,plain_self,sd300b_plain_self_00001209_06,00001209,6,deterministic_positive_sample,ok,ok,true,,,true,1177.9539965186484,1177.9539965186484,true,0.0,true,true,true,true,14.9145,14.969,15.4465,15.6914,297.8551,305.9962,true
sd300b,plain_self,sd300b_plain_self_00001217_07,00001217,7,self_zero_both_resolutions,ok,ok,true,,,true,0.0,0.0,true,0.0,true,true,true,true,0.0354,0.215,0.4821,1.0294,79.8248,80.005,true
