pair_id,dataset,protocol,subject_id,canonical_finger_position,method,method_version,config_hash,manifest_sha256,raw_score,prepare_a_ms,prepare_b_ms,compare_ms,total_ms,status,error_code,error_message
sd300c_plain_self_00001003_06,sd300c,plain_self,00001003,6,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,1177.954,255.6969,252.4761,15.7946,523.9825,ok,,
sd300c_plain_self_00001003_07,sd300c,plain_self,00001003,7,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,396.83797,91.9778,92.1917,2.5734,186.7567,ok,,
sd300c_plain_self_00001003_08,sd300c,plain_self,00001003,8,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,618.348485,78.901,77.2451,5.1083,161.2676,ok,,
sd300c_plain_self_00001003_09,sd300c,plain_self,00001003,9,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,583.37314,109.1978,110.6474,5.0938,224.9538,ok,,
sd300c_plain_self_00001003_10,sd300c,plain_self,00001003,10,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,490.105555,79.4972,78.0428,3.7297,161.2829,ok,,
sd300c_plain_self_00001004_01,sd300c,plain_self,00001004,1,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,1177.954,333.1823,335.9557,15.8757,685.0286,ok,,
sd300c_plain_self_00001004_02,sd300c,plain_self,00001004,2,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,431.813315,103.5319,102.0131,2.9626,208.5238,ok,,
sd300c_plain_self_00001004_03,sd300c,plain_self,00001004,3,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,583.37314,128.7906,124.4992,4.5782,257.8827,ok,,
sd300c_plain_self_00001004_04,sd300c,plain_self,00001004,4,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,595.031589,104.7647,103.5937,5.1403,213.5121,ok,,
sd300c_plain_self_00001004_05,sd300c,plain_self,00001004,5,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,443.471763,85.7158,85.3011,3.1026,174.1322,ok,,
sd300c_plain_self_00001004_06,sd300c,plain_self,00001004,6,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,1177.954,298.4989,298.4837,15.6996,612.6981,ok,,
sd300c_plain_self_00001004_07,sd300c,plain_self,00001004,7,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,198.644352,81.0444,79.1491,1.7199,161.9276,ok,,
sd300c_plain_self_00001004_08,sd300c,plain_self,00001004,8,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,595.031589,81.1311,81.3129,5.1378,167.5954,ok,,
sd300c_plain_self_00001004_09,sd300c,plain_self,00001004,9,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,886.492792,151.4747,147.1342,10.4603,309.0878,ok,,
sd300c_plain_self_00001004_10,sd300c,plain_self,00001004,10,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,233.619696,78.7417,76.8208,1.1625,156.738,ok,,
sd300c_plain_self_00001005_01,sd300c,plain_self,00001005,1,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,350.204178,232.5249,224.8063,2.4739,459.8221,ok,,
sd300c_plain_self_00001005_04,sd300c,plain_self,00001005,4,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,653.323829,169.1023,163.0951,5.4937,337.7057,ok,,
sd300c_plain_self_00001005_05,sd300c,plain_self,00001005,5,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,396.83797,122.394,121.1895,2.457,246.0541,ok,,
sd300c_plain_self_00001005_06,sd300c,plain_self,00001005,6,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,1177.954,350.3701,340.7745,16.4602,707.6205,ok,,
sd300c_plain_self_00001005_07,sd300c,plain_self,00001005,7,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,699.957622,131.0988,130.8413,5.9679,267.9227,ok,,
sd300c_plain_self_00001005_08,sd300c,plain_self,00001005,8,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,548.397796,117.99,115.8061,4.5163,238.326,ok,,
sd300c_plain_self_00001005_09,sd300c,plain_self,00001005,9,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,921.468137,126.3268,125.1255,9.3482,260.8148,ok,,
sd300c_plain_self_00001005_10,sd300c,plain_self,00001005,10,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,525.0809,117.6799,116.5658,3.9424,238.2015,ok,,
sd300c_plain_self_00001006_01,sd300c,plain_self,00001006,1,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,707.50325,248.5888,248.5576,9.3551,506.5159,ok,,
sd300c_plain_self_00001006_02,sd300c,plain_self,00001006,2,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,420.154866,147.5374,150.6383,2.9605,301.1503,ok,,
