dataset,subject_id,canonical_finger_position,plain_self_pair_id,roll_self_pair_id,base_plain_roll_pair_id,plain_self_decision,roll_self_decision,plain_self_status,roll_self_status,plain_self_raw_score,roll_self_raw_score,plain_self_keypoint_count_a,plain_self_keypoint_count_b,plain_self_candidate_match_count,plain_self_geometric_inlier_count,plain_self_inlier_ratio,plain_self_geometric_model_status,roll_self_keypoint_count_a,roll_self_keypoint_count_b,roll_self_candidate_match_count,roll_self_geometric_inlier_count,roll_self_inlier_ratio,roll_self_geometric_model_status,reason_flags
sd300b,00001001,1,,sd300b_roll_self_00001001_01,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300b,00001001,6,,sd300b_roll_self_00001001_06,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300b,00001005,2,,sd300b_roll_self_00001005_02,,,accepted,,ok,,1470.0,,,,,,,1470,1470,1470,1470,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300b,00001005,3,,sd300b_roll_self_00001005_03,,,accepted,,ok,,1460.0,,,,,,,1460,1460,1460,1460,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300b,00001019,5,sd300b_plain_self_00001019_05,sd300b_roll_self_00001019_05,sd300b_plain_roll_00001019_05,rejected,accepted,ok,ok,0.0,1777.0,2,2,2,0,0.0,insufficient_geometry_matches,1777,1777,1777,1777,1.0,success,plain_self_rejected
sd300b,00001040,5,,sd300b_roll_self_00001040_05,,,accepted,,ok,,3002.0,,,,,,,3002,3002,3002,3002,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300b,00001040,10,,sd300b_roll_self_00001040_10,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300b,00001045,10,,sd300b_roll_self_00001045_10,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300b,00001050,10,,sd300b_roll_self_00001050_10,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300b,00001051,2,,sd300b_roll_self_00001051_02,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300b,00001051,3,,sd300b_roll_self_00001051_03,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
